names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Ndst2,-0.9943238,1.8761278,0.32006524698398364,0.5072005781582216,1.0,1.0
Rab23,-1.001619,-0.6385684,0.3165276277767908,0.5017534213586493,1.0,1.0
Twnk,-1.0063888,2.6399014,0.31422856394930354,0.49826676944257636,1.0,1.0
Kcnq1,-1.0110165,-0.12932177,0.31200853830032305,0.49506014032691514,1.0,1.0
Parp1,-1.0221199,,0.30672414846068186,0.4869841697412538,1.0,1.0
E2f3,-1.0262657,,0.30476635324850054,0.4841829147451583,1.0,1.0
Wdr37,-1.0297185,,0.3031421646875796,0.4820615236423201,1.0,1.0
Lipg,-1.0308963,-0.044146672,0.30258942416096146,0.4813354487924287,1.0,1.0
Shh,-1.0374359,0.040437706,0.2995327418968481,0.4766245727703819,1.0,1.0
Chrnb2,-1.0374969,,0.29950432554858575,0.4766245727703819,1.0,1.0
Foxp2,-1.0466096,0.054291442,0.2952796659684015,0.47060490539249217,1.0,1.0
Acvr1c,-1.0482901,,0.29450495199240956,0.46966925443580826,1.0,1.0
Hmcn1,-1.049268,-0.11812336,0.29405478117863515,0.4691007758381924,1.0,1.0
Rbm8a,-1.0513221,-2.1181042,0.29311069062870154,0.4677437415643226,1.0,1.0
Lpar2,-1.0548712,0.23959798,0.2914842162878829,0.465593486514723,1.0,1.0
Pkd1,-1.0566987,-1.051952,0.2906491037151969,0.4644077284386453,1.0,1.0
F9,-1.059354,,0.28943861062808207,0.4626212275875411,1.0,1.0
Knl1,-1.0619556,0.26919755,0.28825584321246234,0.46087791476256357,1.0,1.0
Ska1,-1.0632333,-2.0752993,0.2876761694586377,0.4602450956567403,1.0,1.0
Rtn2,-1.0645031,0.592808,0.2871008606124621,0.4594715179750592,1.0,1.0
Efna2,-1.0697306,-0.5412707,0.2847405674282033,0.45598569435239467,1.0,1.0
Prdm16,-1.0808307,0.070044614,0.2797724292576028,0.4484600643175023,1.0,1.0
Cenps,-1.0824068,,0.27907182669369734,0.44762369895182597,1.0,1.0
